Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Expansion|||For the survey, Peter D. Hart Research Associates asked some 2,000 consumers, including Mrs. Lombardi, whether they usually buy one brand of a certain type of product or have no brand loyalty|||More than half the users of 17 of the 25 products included in the survey said they're brand switchers
Expansion|||Overall, 12% of consumers aren't brand loyal for any of the 25 product categories|||About 47% are loyal for one to five of the products
Expansion|||Overall, 12% of consumers aren't brand loyal for any of the 25 product categories.|||Only 2% are brand loyal in 16 to 20 of the categories
Expansion|||People tend to be most loyal to brands that have distinctive flavors, such as cigarettes and ketchup|||her husband is adamant about eating only Hunt's ketchup
Expansion|||her husband is adamant about eating only Hunt's ketchup|||He simply can't stomach the taste of Heinz
Expansion|||Brand imagery plays a significant role in loyalty to such products as cigarettes, perfume and beer|||People often stay with a particular brand because they want to be associated with the image its advertising conveys
Expansion|||Loyalty lags most for utilitarian products like trash bags and batteries|||Only 23% of trash-bag users in the Journal survey usually buy the same brand, and just 29% of battery buyers stick to one brand
Expansion|||Brand loyalty was stronger among older consumers in the Journal survey|||Nearly one-fourth of participants age 60 and older claim brand loyalty for more than 10 of the 25 products in the survey
Expansion|||An established brand name is insurance that at least the product will be of acceptable quality, if not always the best value for the money|||It's sort of loyalty by default
Expansion|||Meanwhile, "the bottom end of the market is becoming less loyal|||They're buying whatever's cheaper
Expansion|||Rather, they tend to have a set of two or three favorites|||Sometimes, they'll choose Ragu spaghetti sauce
Expansion|||Advertisers attribute this shared loyalty to the striking similarity among brands|||If a more absorbent Pampers hits the market, you can be sure a new and improved Huggies won't be far behind
Expansion|||If a more absorbent Pampers hits the market, you can be sure a new and improved Huggies won't be far behind|||The BBDO Worldwide ad agency studied "brand parity" and found that consumers believe all brands are about the same in a number of categories, particularly credit cards, paper towels, dry soups and snack chips
Expansion|||When there's a clutter of brands, consumers simplify the complexity by telling themselves, 'All brands are the same so what difference does it make which I buy|||Too often, advertising imagery hasn't done a good job of forging a special emotional bond between a brand and the consumer
Expansion|||Consider, for example, what happened to Maxwell House coffee|||The Kraft General Foods brand stopped advertising for about a year in 1987 and gave up several market share points and its leadership position in the coffee business
Expansion|||The best odds are with your core franchise|||Our heavy users consume two to three cans of soup a week, and we'd like to increase that
Expansion|||So Campbell is talking to its "brand enthusiasts," probing their psychological attachment to its soup|||In one consumer focus group, a fan declared that, "Campbell's soup is like getting a hug from a friend
Expansion|||Broader averages also posted modest gains|||Standard & Poor's 500-Stock Index rose 0.60 to 341.76, the Dow Jones Equity Market Index rose 0.71 to 320.54 and the New York Stock Exchange Composite Index gained 0.43 to 189.32
Expansion|||Standard & Poor's 500-Stock Index rose 0.60 to 341.76, the Dow Jones Equity Market Index rose 0.71 to 320.54 and the New York Stock Exchange Composite Index gained 0.43 to 189.32|||Some 822 New York Stock Exchange issues advanced in price, while 668 declined
Expansion|||But the Dow Jones Transportation Average went down for the seventh consecutive session, due largely to further selling in UAL|||The average dropped 6.40 to 1247.87
Expansion|||Stocks retreated to session lows just after the opening amid worries about the market impact of the quake, but quickly snapped back to higher levels with the help of futures-related program buying|||The early move essentially established the day's trading range, and traders said they saw little of the program activity that has battered the market recently
Expansion|||I didn't expect it to be this quiet|||I expected to see more volatility
Expansion|||as institutions re-evaluate their stance toward the market in light of its decline|||that a lot of investment committees are looking into whether (they) want to be in stocks at all
Expansion|||Issues of insurance brokers were especially strong|||Marsh & McLennan advanced 3 1/8 to 75 7/8, Alexander & Alexander Services climbed 2 to 32 and Corroon & Black firmed 1 7/8 to 37 1/2
Expansion|||Elsewhere in the group, General Re rose 2 3/4 to 86 1/2, American International Group gained 3 1/4 to 102 5/8, Aetna Life & Casualty added 2 3/8 to 59 1/2 and Cigna advanced 7/8 to 62 1/2|||Loews, the parent of CNA Financial, rose 1 3/8 to 123 1/8
